date,title,blog
2017/12/15 00:25,,"



毎日違った感情で...
その日、その瞬間にみた景色、色、物、他人のしぐさ、表情
その日、その瞬間体に触れた風、物
自分に聞こえた他人の声、音

他にもまだまだあるがこうした何気ない瞬間で人の感情は変わって月日がたっていくと思う


その心を大切にしたい。

時はとまっていない世界にいる


生きるとは...






僕は自分に正直に生きたい。

  "
2017/07/21 08:20,(・・),"


こんにちは



突然ですが


未確認フェスティバル2017の応援ガールに就任させて頂きました。


そして明日...大阪公演ということで...


私も同じ日に単独のライブがあります。


緊張しますが、一緒に頑張りましょう。


本当に応援しています。

  "
2017/05/02 23:17,(*^^*),"
  こんにちは〜    ひらてじゃなくて葵です〜〜( ¨̮ )         ひらちが勉強をしています!   びっくり!!!     高校生がんばってね〜〜      はらだあおい٭ 
"
2017/04/21 11:17,お久しぶりです,"
   こんばんは    今週からSCHOOL OF LOCK! GIRLS LOCKS!の三週目をわたし平手友梨奈が担当させて頂いています。    1日目はすごく緊張しました。 ただただ緊張がすごくて上手く話せずカミカミですみませんでした。     2日目は初めて逆電をしました。 わたしも緊張してたのですが相手の先輩が泣いてしまって...(´･･`)  わたしもどうしていいかわからず..(笑) でもすっごく楽しかったです!   握手会とかでもあんなにゆっくり話すことがないので嬉しかったです。 もっとたくさんの方とお電話したいです!      3日目はお花見! ラジオでそんなこと出来るんだって。。 びっくりしました。      桜   4日目 またまた逆電... 今日は同い年の子とだったからか自然にお話できました! 楽しかったなぁ   あと、とーやま校長とあしざわ教頭の会話がすごく好きで毎日聞いてました。   とーやま校長が欅坂のこといろいろ話してくださって嬉しかったなぁ。    来月もよろしくおねがいしますm(_ _)m    あ、あとこれを...          2日目でお話したsnowというアプリの面白いやつ...  よねさんとやったので...(-｡-;     では...  バイバーイ

  "
2017/03/24 17:34,こんにちは,"


こんにちは



早速ですが昨日『不協和音』のミュージックビデオが解禁されました。


すごくかっこいい曲です。

振り付けも激しい動きになっています。






そして今日解禁されました。
4月からTOKYO-FMさん「SCHOOL OF LOCK!」の女子クラス「GIRLS LOCKS!」の毎月三週目をわたしが担当させて頂きます。


ありがとうございます。



緊張していますがこの間中学を卒業してわたしも来月で新高校生なので楽しんでいけたらと思ってます。

みなさん、仲良くしてください( .. )
頑張りますので
よろしくお願いします!


そして、今日の「SCHOOL OF LOCK!」で不協和音のカップリング曲...『エキセントリック』を解禁して頂けます。



エキセントリックはわたし大好きな曲です。

たくさん聞いてしまうし、みなさんにもきっと共感できる部分がきっとあると思います。


曲調も今までの欅坂にはないような曲調だと思います。



是非、みなさん聞いてください。






最後に欅坂46が「SONGS」に出させていただきました。
4/6に放送される「SONGS」の内容を少しだけお見せしてます!



スタジオに一人で取り残されたときはなにかドッキリか大きなクラッカーとか出てくるのかと思いました。



part2ではTAKAHIRO先生とあるロケ地を一緒に巡りました。



私も放送が今から楽しみです!!



「SONGS」欅坂46 SPECIAL WEB MOVIE part1、part2
ぜひチェックしてみて下さい!















お楽しみに!


バイバイ

  "
2017/02/27 23:46,(∵`),"


こんばんは



明日発売のROCKIN'ON JAPANさんに私が出させていただきました。


こんな私が出させていただけるなんてありがたく思っています。



今まで語ったことのない私のパフォーマンスや曲に対する気持ち、そして今自分の事をどうみてるのかなどを正直に語らせていただきました。


是非、見ていただきたです。




あと、この日の撮影はずっといつか撮っていただきたかった...私がスタジオで本気でダンスしたのを撮っていただきました。



本当に嬉しかったですし、楽しかったです。



よかったら是非見てみてください。
よろしくおねがい致します。







そして、4月1日発売のseventeenさん5月号に出させていただきました。


今年の春から新高校1年生ということでいろんなコーデを着させていただきました。


楽しかったです!


いろんな服を着れるし、いろんなヘアメイクができるので。。


是非、こちらもよろしくおねがいします。













季節外れのサンタ...。。







バイバイ

  "
2017/02/14 08:44,約束の時間まであと...,"
こんにちはお久しぶりです。smartさんの三月号に欅坂から6人出させていただいてます!衣装かわいかった。。是非、みてみてください。月刊エンタメさんの表紙を今やらせて頂きました。一緒に撮影したネコちゃんฅ•ω•ฅかわいい撮ってもらった( ¨̮ )是非お近くのコンビニで!!そして。石が4つこのあとりさが5つにしてくれました。10時お楽しみにバイバイ
"
2017/01/14 00:42,m(__)m,"
  明日から凄く冷え込むみたいなのでみなさん気をつけてください。     あと     受験生のみなさん     陰ながらですが実はすごく応援してます。    こんな私ですが少しでもこの気持ちが届けばなと思い書かせていただきました。    私も今年から高校なので。。   応援しています。     ここは無視して頂いても大丈夫ですが...(笑)  リラックスしたい時にサイレントマジョリティーやカップリング曲の制服と太陽聞いてみてください。    制服と太陽好きなんです。  歌詞が好きです。    頑張ってください。    応援しています。            
"
2017/01/12 23:12,遅くなって申し訳ありません。,"
 更新遅くなってすみません。     遅いですが、あけましておめでとうございます。   去年は本当に感謝の1年でした。  全ての方々ありがとうございました。 今年もよろしくお願い致します。     12月24.25に行われた初ワンマンライブに足を運んでくださった方々ありがとうございました。   いろんなことを学ばさせていただきました。 ありがとうございました。   ペンライトの色が一色に揃うと本当に綺麗で...  サイマジョのときの緑  overtureの時の緑  なによりソロ曲の渋谷からPARCOが消えた日の赤が歌ってて綺麗だし気持ちよかったです。  わざわざありがとうございました。    また是非liveやるとなったら今回来られなかった方もお越しください。        そして、紅白歌合戦   見てくださった方々ありがとうございました。   改めてすごいステージに立たせていただいたんだなと思ってます。  ありがたい気持ちと申し訳ないです。   私は不思議な気持ちになりました。  それは自分でもよく分かりません。    とにかく感謝です。    大きな声でありがとうございましたと叫びたいです。     今年も頑張りますのでこんな私ですが応援よろしくお願い致します。           バイバイ  
"
2016/12/13 01:59,(_¨̮_),"

こんばんは



最近また1段と寒くなった。。。

気をつけてくださいね。




今日グッツが解禁されましたね。



タオルの配色は自分で決めたと書いてあります。


私は押し色というのはまだ決まってません。

なので欅坂のカラーにしました。


私が緑と紫の色!ではありません。

サイリウムカラーというのも決まってないです。

私は曲で色を決めたい派なので...。



よろしくおねがい致します。






バイバイ



(・・)




ライブお楽しみに!

  "
