date,title,blog
2018/09/25 01:44,鹿,"
こんにちは🦌山口県出身 高校2年生 17歳の河田陽菜です🦌更新空いてしまいごめんなさい(･_･;先日、「Re:Mind」のイベントがありました!2期生はスピンオフで全員参加させていただいたのですがその時を振り返って懐かしい気持ちになりました(^^)1期さんの裏話なども聞けて楽しかったです!!足を運んでくださった皆様有難うございました!金村の狐の尻尾を持っているまなも🦊今「割れないシャボン玉」聴いています♪ツアーで披露したのがすごい懐かしく感じます。そんなブログを書いている今、ひよたんとまなもに挟まれています〜昨日は名古屋で全国握手会でした(^｡^)ミニライブで「ハッピーオーラ」を披露しました!ヘイの掛け声がたくさん聴こえてとてもハッピーになりました🐟全握はめみさんとレーンが同じでした!🐈久しぶりの全握で緊張しましたがめみねこさんパワーで緊張はほぐれました☺︎凄く楽しかったです!有難うございました!そして今日は個別握手会でした(^｡^)実は全部みーぱんさんのお洋服をお借りしていました!なんと3着もお借りしました🍞本当に有難うございました!♡ピンで遊びました(^^)金村のマフラー。あったかい(^｡^)この前の幕張個握、名古屋全握、個握のお花を紹介します(^^)色とりどりですごく可愛いお花がたくさん!ピンク系のお花がたくさん!ピンク系のお花やデザインのお花!沢山の素敵なお花本当に有難う!m(_ _)m握手会に足を運んでくださった皆さん、本当に有難うございました!とても楽しい時間を過ごさせて頂きました(^^)【お知らせ】10月6日開催の「takagi presents TGC  KITAKYUSHU 2018 by TOKYO GIRLS COLLECTION」にけやき坂46のライブ出演が決定しました!沢山の方にハッピーが届けられるように頑張りますっ!9月24日    河田陽菜
"
2018/09/17 00:05,炭酸,"
こんにちは!山口県出身高校2年生17歳河田陽菜です!🐟昔は炭酸が苦手だったのですが最近美味しさに気づきました☺︎メイクさんの入れ物お借りして撮ったよ!かわいい☺︎[お知らせ]★9月23日(日)午後10時50分～ 午後11時20分「欅坂46SHOW!」が放送されます。3日間で45000人を熱狂させた欅坂&けやき坂の「欅共和国2018」の舞台裏が放送されます!是非ご覧ください♪ばいひなまる〜ひよたんのブログの最後の「ばいころまる」を真似してみました(^^)9月16日   河田陽菜
"
2018/09/16 03:31,世界観,"
こんにちは!山口県出身 高校2年生 17歳河田陽菜です🐏今日は7枚目初めての個別握手会でした☺︎足を運んでいただいた皆さんありがとうございました!1部と2部はほむらちゃんを意識して三つ編みにしたんです!1部は久美さんに付けて頂いた、いろはちゃん(めみさん)とマミさん(しほさん)のバッチを髪に付けて握手しました!舞台が終わった今でも丹生ちゃんとまどマギごっこ続いています☺︎みーぱんさんに撮っていただきました🍞4部の空いた時間にメイクさんにメイクを教わっていました☺︎楽しかった〜!舞台の感想が聞けたり、他にもたくさんたくさんお話できて楽しかったです!次は名古屋で握手会ですね🐼是非お待ちしております!不思議な世界〜9月15日  河田陽菜
"
2018/09/14 14:24,夢の舞台,"
こんにちは!🎃山口県出身 高校2年生 17歳河田陽菜です!ブログ書い出るとき、自分では文章少し長くなったかな〜と思って読み返してみると、結構短いっていうのがよくあります。物事を頭で考えるのはすごく好きですが文章は苦手みたいです、かわださん。もう夜は少し肌寒いですね(^^)秋の匂いがします。冷たい空気を吸うと気持ちがいいです秋刀魚食べたい🐟体調には気をつけて下さいね!11日に「うたコン」に出演させて頂きました!「ハッピーオーラ」を披露させていただきました♪ハッピーオーラは届きましたか?♪そして五木ひろしさんの「VIVA・LA・VIDA!~生きてるっていいね!~」をコラボさせていただきました!大先輩とコラボさせていただけてすごく光栄でした✨マラカスで踊るの楽しかったです💃生放送が初だったので緊張したのですが、とっても楽しかったです!しかも生演奏でパフォーマンスなんてすごく豪華でドキドキしました。このにぶ!この衣装の写真が全然なかったのでこの日はたくさん撮れてよかった(^^)生放送後!なぜか髪の毛がボサボサ。うたコンに出演させていただけて本当に嬉しかったです。ありがとうございました!9月14日  河田陽菜
"
2018/09/13 22:38,願い事,"
こんにちは!山口県出身 高校2年生 17歳河田陽菜です🐼パンダを見に行こうと思って動物園に向かったんです。動物園についたとき、もう動物園は閉まっていました😿入場時間が過ぎてから動物園に着いたんです!確認しないで行ったんです(･_･;なので、またいつかチャレンジしたいと思います🐼先日、舞台「マギアレコード 魔法少女まどか☆マギカ外伝」の千穐楽を迎えました。劇場に足を運んでくださった皆さん本当にありがとうございました!この舞台期間はとても充実した日々でした。もう懐かしい事のように思えます。演技に対して、すごく自信がなかったので、舞台に参加する事が分かった時はできるか不安でした。今回初めて他のキャストさん、アンサンブルの方とご一緒させていただきました。カーテンコールでも言ったのですが本当に皆さん優しくて。そしてとってもとっても刺激を受けました。私は天音月咲役の黒崎純さんの所にいつも「どうしたらいいですか?」と聞きにいっていました。どうしたらいいですか?ってすごいアバウトですね(笑)でもいつも的確なアドバイスを頂いていました。純さんの自信を持ってという言葉がすごく心強かったです。皆さんとすごくお話しすると安心します。千秋楽で撮った皆さんとの写真ですっ。天音月咲役の黒崎純さん !梓みふゆ役の大胡愛恵さん!土井千笑さん!長岡美紅さん!天音月夜役の倉持聖菜さん!松田恵輪さん!全員の方とは撮れなかったのですが、、(･_･;皆さん、大好きです。またどこかでお会い出来るように頑張ります!実はこの舞台を通して初めてまどマギを見たんです。私が予想していたアニメとは違いました。すごく深かったです。今回はめがねほむらちゃんを演じさせていただきました。こんなに素敵なキャラクターを演じさせていただけですごく光栄です!そして舞台に関わって下さった全てのスタッフの皆さん本当にありがとうございました!きっと私の目の届いていない所にも沢山の方が関わっていると思います。沢山の方に感謝の気持ちでいっぱいです。こんな素敵な舞台に携わる事が出来て幸せでした!まどマギチーム!この期間でたくさんお話しする事が出来ました!最後に大胡愛恵さん演じる梓みふゆさんの髪の毛🐏やっぱり何度見てもかわいい!私はこの髪の毛のピヨって出てるのがすごく好きです☺︎あ、私の特に好きなパフォーマンスの所は布ダンスです☺️9月13日 河田陽菜
"
2018/09/11 12:27,お寿司,"
こんにちは!山口県出身高校2年生17歳河田陽菜です!今日は金村美玖のお誕生日ですね!おめでとう!😳実はですね、、誕生日フライングして1日前に間違えて「おめでとう」と言ってしまったんです。なので今日またおめでとうと言いなおしました!ごめんね(･_･;金村は絵がすごく上手☺︎舞台期間はキャラクターをたくさん書いててそれがすごい上手すぎてびっくり。そしてかわいくてよく喋る金村さん☺︎これからも宜しくね!🐟そして昨日、舞台「マギアレコード 魔法少女まどか☆マギカ外伝」千穐楽を迎えました。本当に本当に足を運んで下さった皆さんありがとございました!また次のブログで詳しく書きます☺︎鹿目さん🎀9月10日  河田陽菜
"
2018/09/03 02:42,大吉,"
山口県出身 高校2年生 17歳河田陽菜です🎃9月に入りましたねもう秋ですね舞台、今日で折り返し地点です写真を撮っている鹿目さん🎀かわいいーー!!めがねほむらちゃんヘアメイクさんが私の顔に寄せて書いてくださりました!すごく嬉しい、、!♡いつも舞台でかけている赤めがねを入れているめがねケースなんです!これで毎日おみくじしてるんです! 衣装さんがしてくださったんです!ちなみに2日か3日連続大吉出しました🐟やったねー(^^)大吉の他には「明日はいいことがあるかも♪」などが書いてあるんです!これがすごく毎日楽しみなんです!(^^)本当にスタッフさん全員優しくしてくださっていて、毎日お世話になっています!毎日楽しいです!千秋楽までどうぞ宜しくお願いします!そして舞台「マギアレコード 魔法少女まどか☆マギカ外伝」の後半戦スペシャルイベントが決定いたしました!ぜひ劇場に足を運んでくださったら嬉しいです!🐈詳細はこちらです!↓http://www.keyakizaka46.com/s/k46o/news/detail/E00303?ima=0000読んでくださりありがとうございました9月2日  河田陽菜
"
2018/08/31 01:14,洞窟,"
こんにちは!山口県出身 高校2年生 17歳河田陽菜です!=(^.^)=昨日なっちょさんと洞窟のお話をしました!綺麗ですよね〜!お花紹介です!左上から時計回りで紹介します!名古屋のお花遅くなってすいません、、(･_･;【名古屋】ハートが可愛いくて素敵!ありがとう!😄ケーキみたいで鮮やか!ありがとう!☺️2期生のみんなに!白いお花!ありがとう!😆ゴーヤくんがキュート!ありがとう!🤓アレンジと向日葵が可愛い!ありがとう!😋ピンクとの色合いが素敵だー!ありがとう!😉にこちゃんと風船がお気に入り!ありがとう!😎スヌーピーの表情とお花が可愛い!ありがとう!🤩【京都】 (1枚幕張)載せ忘れてました!ごめんなさい(･_･;!ピンクのバルーンが女の子っぽい!ありがとう!😊色合いが淡くて大人っぽい!ありがとう!😍レインボーのバラが凄くてかわいい!ありがとう!🤗向日葵とピンクいいかんじ!ありがとう!😌色合いが可愛い!写真も嬉しい!ありがとう!😘水色嬉しい!シャボン玉っぽい!ありがとう!😚上の豚がすごくキュート!ありがとう!🐷ミニオンがたくさんで豪華!ありがとう!😄ひよたんとのお花!大きいユリが可愛い!ありがとう!😝ミニオンがパーティーしてて可愛い!ありがとう!😳女の子!プレゼントボックス!本当にたくさんのお花ありがとうございます😭いつもレーンの後ろがすごく華やかで嬉しいです!8月30日   河田陽菜
"
2018/08/29 23:55,にぶあかり,"
こんにちは!(^｡^)山口県出身高校2年生17歳河田陽菜です!🐟ツアーの時の写真!懐かしいねー!丹生明里のあだ名集☺︎丹生ちゃんあかりにぶこにぶぶぶぶにぶごんぶーこぶーちゃん ぼーあかりんあかあかあかちゃんあだ名がたくさんな丹生ちゃん〜!今はまどかちゃんって呼んでます毎日癒しです(^｡^)8月29日  河田陽菜
"
2018/08/28 04:47,スクイーズ,"
こんにちは!山口県出身 高校2年生 17歳河田陽菜です!(^^)少しだけ前のお話!みーぱんさんとひよたんとチーズダッカルビを食べに行きました!みーぱんさんが案内してくださって、、凄く美味しかったのです!辛かったんですが凄く美味しくて、私って意外と辛いの食べれるかも?かき氷も食べました!🍧なんとお言葉に甘えさせて頂いて両方なんとみーぱんさんご馳走になったのです、、!ご馳走様です!(･_･;ありがとうございました!🍞お買い物もできて楽しい1日でした♪!髪の毛のアレンジを変える時にとりました^ - ^三つ編みにみえる☺︎10/26(金)に日本武道館で開催される「Hot Stuff Promotion 40th Anniversary MASAKA」のファンクラブ会員向けの先行受付が決定しました!是非!http://www.keyakizaka46.com/s/k46o/ticket/detail/T000208月27日  河田陽菜
"
