date,title,blog
2018/09/19 23:29,ここ最近①☆彡,"




謎に寝たくない時ってありませんか?
わたしは月に2回くらいそう言う日が来ます
寝なくていいかな〜って日。
でも最近その日が来てしまったのが
夏のツアー幕張メッセ公演初日の前日で、
なんか眠れないし寝る気にもなれないし
もう寝なくていいかな〜って思ってたんですけど
さすがに明日ライブだし、体力持たなくて踊れなくなりそうだし
うわ〜これ寝たほうがいいやつか〜と思って寝ようとしたら、もうすでに家を出発する2時間前で。
とりあえず1時間だけ寝てその日のライブに臨みました
でもびっくり、意外と元気!そして踊れる!
人間1時間睡眠でも生きていけるんだな〜と
人間の強さを知った日でした。





小林由依です♪

こんばんは






9月15日は幕張メッセにて
7枚目シングル初の個別握手会でした!





*私服*







シャツ、Tシャツ、ベルト、ジーパン、パンプス
全てUNIQLOで揃えてみました＼(^^)/


ただそれだけだとシンプルになりすぎてしまったので
頭にスカーフを巻いたり、持っているアクセサリーを足して飾ってみました!









久々の握手会だったので少し緊張しましたが
とても楽しかったです(^^)


お花ありがとうございます♡







次は23日と24日に名古屋で
全国握手会と個別握手会がありますので
ぜひ来てくださったら嬉しいです!








------------






お知らせ



◇『別冊カドカワ 総力特集欅坂46 』が発売中です!


本当に盛りだくさんで、この夏のツアーでの密着取材の様子や、TAKAHIROさん、新宮良平監督など、
いつもお世話になっている方々のインタビュー記事も載っています!


また、私は土生ちゃんとのユニット線香姉妹での
撮り下ろし写真とインタビューも掲載させていただいています!


そして、9月号から『with』の専属モデルを務めさせていただいていますが、
その専属モデルに選んでいただいた経緯や
withでの小林由依の在り方などのインタビューに応えてくださったwith編集部の北原かおるさんの記事も載っています!

初めてこの北原さんのインタビューを読んだ時、
すごく感動しました。
すごく嬉しいインタビュー内容で、
ぜひ皆さんにも読んでいただけたら嬉しいです(^^)









また書きます

おやすみなさい

see you again ⊿⊿












"
2018/09/10 03:26,全国ツアーありがとう☆彡,"
パンを食べようとしたら自分が思ってる以上に喉がカラカラで食べた瞬間喉に張り付いて驚きで一瞬時が止まりましたあぶない(;_;)小林由依です♪こんばんは8月11日から始まった全国ツアー、先日の幕張公演で無事幕を下ろしました去年とは感じ方がまったく違ったな〜それだけこの1年で変化があったってことだと思います一人一人が確実に去年より一歩でも成長していることは確かだったし、それはライブをしている中でたくさん感じることができました私自身も去年は自分がすごく子供で理解できなかったことも沢山あってなんで?どうして?ってそればっかりで、でも今年は、色んなことを経験させていただいて去年理解できなかったことも理解できるようになってそれを受け入れられるようになってメンバーと支え合っていきたいな、支えたいなってそういう思いが強くなりましただから今年の夏のツアーは、去年感じた孤独感や悔しさはなくてただみんなとライブが出来ていることの喜びの方が大きかったかもしれないですそして最終日、W-KEYAKIZAKAの詩を披露させていただきましたその際、メンバーにしか見えないモニターに今までの思い出が映し出されましたこんな風にいつも支えてくださるスタッフさんが大好きだし、映像を見ながら自然と涙が出てきて、あぁ私欅坂46大好きなんだな〜って改めて思ったし何より私の大好きな欅坂46を好きでいてくださるファンの皆様が大好きだ〜!と思いながらW-KEYAKIZAKAの詩を歌いました本当に本当にいつもありがとうございます(^^)(ぎゅっとしちゃってごめんね)あ〜、一気に夏が終わった気がする〜来てくださった皆様ありがとうございました!またすぐライブが出来たらいいな(^^)おやすみなさいsee you again ⊿⊿
"
2018/08/27 04:01,3周年を迎えました☆彡,"
見たい映画が3本くらいあるのですがよし!今日は絶対に見に行こう!と心に決める日が大体土日で、土日の人混み苦手系女子には映画館に行くことを諦めるしかありませんでした…ということで安定の〜?そう!!イ!ン!ド!ア!インドア!!🤪🙃😞小林由依です♪こんばんは欅坂46結成3周年を迎えました!本当に本当に、いつもありがとうございます私がこうして欅坂46でいられるのはいつも応援してくださる皆さんがいてくださるからですこれからも見守っていてくださったら嬉しいですこれからもたくさんたくさん頑張ります!------------お知らせ◇発売中の雑誌『B.L.T.』さん土生ちゃんと2人で表紙を務めさせていただきました!表紙も2パターンありますのでぜひチェックしてみてください(^^)◇明日27日の16時20分〜NHK-FM『ゆうがたパラダイス』に出演します!これまた土生ちゃんと〜♡ぜひ聞いていただきたいです!◇28日発売の『with 10月号』ぜひチェックしていただけたら嬉しいです♡10月号はてちも出ています〜さてさて、ツアーももう折り返しです!少し体を休められたので、残りの公演も頑張りたいと思います!待っていてください〜おやすみなさいsee you again ⊿⊿
"
2018/08/13 17:12,変えられなかった運命はこの先もずっと背負っていかなくちゃいけない。でもこの先の運命は自分次第でいくらでも変えられる。☆彡,"
いつもより言葉がまとまらないので読みづらいと思いますが温かい目で見ていただけたらな、、と。小林由依ですこんにちはメンバーの今泉佑唯が、グループからの卒業を発表しました何日か考え、ずーみんに自分の気持ちを伝えてずーみんからも気持ちを聞くことができ、少しずつ重かった心が軽くなりました今は、ずーみんが自分で決断して次に進もうとしているのでそれを全力で応援したい気持ちでいっぱいです歌声、現場での振る舞い、本当に尊敬できる人だしそんな人が自分の隣にいてくれたことで自分も頑張ろうと思えました本当に、出会えて良かったです最後に、ゆいちゃんずを愛してくださった皆様、ずーみんもゆいちゃんずが大好きだと言ってくれました私もゆいちゃんずとして皆様に歌を届けることができ、本当に良かっですこれからもゆいちゃんずの曲を愛していてくださいありがとう!see you again ⊿⊿
"
2018/08/04 02:41,もう8月なのやばい☆彡,"
更新が遅くなってしまいましたそれはなぜか。この冒頭部分に使えるネタがあまりにも無かったから。いや、あったのかもしれない。書こうともした。ただ、自分の中のハードルが上がりすぎたせいか何も面白く感じなくなってしまった小林、スランプでございます←小林由依です♪こんばんは7月20、21、22日の3日間富士急のコニファーフォレストにて『欅共和国2018』が開催されました!テーマが「びしょびしょぐちゃぐちゃ」だったので去年よりたくさん水をかけたり泡をかけたり、、みなさん無事でしょうか。笑メンバーも初っ端からびしょびしょになりました!でも皆さんと一緒にわちゃわちゃできて凄く楽しかったです(^^)これからも欅共和国が夏定番のイベントになったらいいな〜♪お越し下さった皆様、ありがとうございました!------------欅共和国が終わり、最近は全国ツアーやROCK IN JAPAN FESTIVALの準備をしていました!共和国につづき、全国ツアーも良いものにできるようにあと1週間、練習を頑張りたいと思います!そして明日は、『ROCK IN JAPAN FESTIVAL 2018』に出演させていただきます!今年も出演させていただけることがとても嬉しいです!楽しみだな〜♪ まだまだ暑い日が続きますが、この夏は私達と一緒に楽しく乗り越えましょう(^^)------------お知らせ◇この度専属モデルを勤めさせていただくこととなった『with 9月号』が発売中です!自己紹介ページや、秋トレンド、バックの中身のページにも登場していますのでぜひチェックしてみてください♡改めまして、これから頑張ります!◇今日24時20分からのこち星に出演します!そしてアンビバレントのカップリング曲『Student Dance』の音源を初解禁します!ぜひ聴いてください〜(^^)おやすみなさいsee you again ⊿⊿
"
2018/07/20 01:02,報告&いよいよ☆彡,"
こないだ洋服にアイロンかけててちょっと洋服ずらすときにアイロンを横にして置いといたら、ものの2秒ぐらいでそのこと忘れて横のアイロンにおもいっきり手をつけちゃって火傷しました何が起こったかわからなくてそのまま何事もなかったかのようにアイロンがけを続けてたんですけど、やっぱり手がすごい痛くて、こ〜れは冷やすやつだわってなってやっと冷やしました。なんか、本当にヤバい時って思考回路止まるよね小林由依です♪こんばんはこの度、ファッション雑誌『with』の専属モデルを務めさせていただくこととなりました!withさんは、以前から何度か出させていただいていて読んでるうちに、こんな綺麗な大人の女性になれたらいいな〜と憧れを抱いていた雑誌でしただから少しお姉さんのイメージを持っていたので18歳というまだまだ子供な私がwithさんに合うのだろうかと不安がありましたですが、何度か撮影をしていく中で大人のファッションや大人のメイクなど、まだ触れたことのない新しいものを体験できたのがすごく楽しくて、不安よりも、もっともっと勉強したい!という気持ちに変わりました!まだまだものすごく未熟ではありますがこれからたくさん勉強させていただき、自分磨きを怠らず、withモデルと名乗っても恥じない女性になれるよう、精進します!そしてこれをきっかけに、with読者様に欅坂46を知っていただけたら嬉しいし、少しでも欅坂46に貢献することができたらいいな。7月28日発売の9月号から専属モデルとして出させていただきます!その9月号には、改めて自己紹介もしているのでぜひチェックしていただけたら嬉しいなと思います(^^)------------さてさて、いよいよ、明日20日から3日間!欅共和国2018の開催です!!!わーーー!!楽しみ!すごいテンション上がる!来てくださる皆さん!夏だし!もう壊れましょう!!待ってます!おやすみなさいsee you again ⊿⊿
"
2018/07/17 03:02,夏☆彡,"
テレビつけっぱなしで寝ちゃって、翌朝、朝ドラの音楽で目が覚めたんですね。やった〜休みの日だけど8時に起きれた〜とか思って時計見たら12時50分。再放送の時間に起きただけだった小林由依です♪こんにちはこの度の豪雨により、被害に遭われた皆様に心よりお見舞い申し上げます。まだまだ不安が残る毎日をお過ごしかと思います、、直接皆様のお役に立てることができずもどかしいです。雨が降っていなくても、川の増水など危険な場所はたくさんあると思いますので気をつけてお過ごしください、皆様のご無事を願っています。------------なかなか更新できずすみませんでした🙇‍♂️7月ももう半分まで来てしまいました、、最近はずっと欅共和国の準備をしています!時にはスタッフさんが徹夜で準備をしてくださっていたり、、本当にありがたいですいいものを作ろうとみんなで頑張っていますので、ぜひ楽しみにしていてください(^^)------------もう今期のドラマが始まってしまった、まだ何も見れていません、夏のドラマは、ツアーやフェスなどがあるのでなかなか見れなくてどんどん録画が溜まっていきます、そして録画を消費するのにインドアになります、もうこのループから抜け出せません、どうしましょうかね〜もうというか皆さんももうこのネタ飽きてますね、はい、またインドアから抜け出せたらご報告いたします←------------毎日暑い日が続いていますが体調は大丈夫ですか?熱中症にならないよう、こまめに水分補給をしてくださいね、、私もいつもは飲み切らない500mlをちゃんと飲むようにします!see you again ⊿⊿
"
2018/07/03 10:17,短め☆彡,"
掃除機かけ始めたら止まんなくなっちゃってノズルを変えてはいろんな隙間とか掃除しだしてしまいにはドアノブ拭いたりクローゼットの中も整理したりそんなこんなで気づいたら朝5時だった。おやすみなさい。小林由依です♪こんばんは6thシングル最後の握手会ありがとうございました!最近はセンター分けにはまっておる。お花ありがとう(^^)ひまわり率とお人形付いてる率が高かった!次はいつ握手会があるか分かりませんが、またぜひいらしてください♡------------*私服*ハット : LOWRYS FARMアウター : LOWRYS FARMトップス : Mila Owenボトムス : Mila Owenシューズ : LOWRYS FARM気にせずにコーディネートしたつもりがLOWRYS FARMとMila Owenだけだった!笑でも同じブランドで組み合わせると雰囲気合わせやすいからいいよね〜♡------------お知らせ◇発売中の雑誌『with 8月号』さんに掲載させていただいています!ぜひ見ていただけたら嬉しいです♡おやすみなさいsee you again ⊿⊿
"
2018/06/23 22:09,最近のこと☆彡,"
家を出るときにイヤホンをつけて、そのまま電車に乗って、お買い物して、また電車に乗って、お家に帰ってきて、部屋で買った荷物を降ろす時にずっとイヤホンつけておいて1曲も流していなかったことに気づいた。どうりで今日は街中が静かだったんだな。イヤホンくん、音を届けるというキミの役割を果たせてあげられず耳栓状態にしてごめんね←小林由依です♪こんばんは〜最近のこと〜『名探偵コナン科学捜査展 真実への推理』へ行ってきました!楽しかった〜!事件も無事解決できたし、グッズも買えました!事件の謎を解いていくのがすごくワクワクするしとても楽しかったので皆さんも行ってみてください(^^)英語と韓国語に興味があったので英会話の本と、ハングルが読めるようになる本を買ってみました!移動中とかに読もうかな〜1日でもお休みの日があればネイルをするようになりました!この間塗った色はサックスブルー雨の日にぴったりな色でしたネイルをすると気分が上がるしオシャレしてるな〜って思える!今日また、カーキ色とマスタード色を買いました今度はいつネイル出来るかな〜♪------------お知らせ◇『LINE Pay 新CM & キャンペーン発表会』にLINE Pay アンバサダーとして出席させていただきました!テレビではすでに、私たちが出演させていただいた新CMが流れております!もう見た方いるかな〜今流れているCMは、ねるとゆっかーが10円ピンポンをしているバージョンなのですが、これから、私とぺーちゃんが10円ピンポンをしているバージョンも流れますので、テレビから「10円ピンポン開催中!」と聞こえたら即座に振り返ってくださいね←そして、10円ピンポンキャンペーンに参加していただくと欅坂46限定動画が見られるので、ぜひ参加してみてください(^^)またLINEでは、キャンペーン限定スタンプも配信されているのでぜひスタンプもゲットしてください!LINE Pay は、簡単にお金のやりとりができてすごく便利なので皆さんも使ってみてください(^^)私も使い始めています!◇本日発売の雑誌『BRODY 8月号』さんに掲載させていただいています!これから来る夏のことなどたくさんお話させていただきましたゆっかーが表紙ですぜひ見ていただけたら嬉しいです!------------明日は京都で個別握手会です!着る服が無くて困り果てましたが無事決まりました6thシングルの握手会は明日で最後ですので楽しくお話しできたら嬉しいです(^^)待ってますsee you again ⊿⊿
"
2018/06/14 23:42,雨降ったり暑かったり大変ね〜☆彡,"
久しぶりにマッサージに行って、脚とかに疲れが溜まっていたので強めでお願いしますって言ったら案の定次の日筋肉痛みたいな感覚になり歩くのが大変でした。強めでお願いしますなんて調子乗ってんなよ小林〜小林由依です♪こんばんは 6月10日はパシフィコ横浜で個別握手会でした!彩花ちゃんとまた私服が似てました♡嬉しい♡欅共和国、当たったよ〜って報告してくださる方がたくさんいて、それを聞いて私も今から楽しみです♪お花ありがとう(^^)------------お知らせ◇発売中の『別冊 カドカワDirecT 13』さんに掲載させていただいています!私好みの写真のテイストでお気に入りの写真もたくさんありますそして、100問100答インタビューではより小林由依のことを知っていただけるものになったのではないかなと思います裏表紙もやらせていただきました!ぜひ見ていただけたら嬉しいです(^^)◇ずーみんがレギュラーモデルを務めている、発売中の雑誌『ar』さんに、ゆいちゃんずとして私もお邪魔させていただきました!お揃いのヘアアレンジをする企画で、女性のファンの方には、ぜひ私たちのライブにお友達同士で来る時などにもやってみてほしいな♡◇明日15日、J-WAVE 『AVALON』さんに理佐と一緒に出演させていただきます!また、本田翼さんとお会いできることが嬉しいし、尼神インターさんもいつもテレビで見ていてお会いしてみたいな〜と思っていたので明日がすごく楽しみです♡渚さんにしばかれないように気をつけよう 笑夜20時〜の放送ですぜひ聴いてください(^^)おやすみなさいsee you again ⊿⊿
"
