date,title,blog
2018/09/21 07:53,土田さん誕生日後編,"
こんばんは🙂今週の 欅って書けない? では、土田さんの誕生日の後半戦でした📺今回、しーちゃんとりなとサンドアート に挑戦しました。サンドアートは、船本恵太先生 に教えていただきました!ありがとうございました🙇‍♀️テレビでサンドアートを見たことはあったのですが、実際にやってみると想像よりも難しくて苦戦しました!最初は時間内に終わらすことが出来ず、慣れるまでに時間がかかりましたが3人で上手く役割を分担して本番では何とか、時間内に終わらすことができました!サンドアートは難しいところもたくさんあったけれど、すごく楽しいなと思いました✨そして、改めて土田さん お誕生日おめでとうございます👏いつも明るくて気さくで、本番以外にもみんなに話しかけてくれて、緊張している気持ちを取ってくれます😌ラジオ(日曜のへそ)でもよく欅坂の話をしてくれて、とてもありがたいです!けやかけのMCが土田さんと澤部さんで本当に良かったなって、けやかけ でお会いする度にいつも思います!これからもよろしくお願いしますm(_ _)m読んでくれてありがとうございました。⊿長沢菜々香
"
2018/09/19 09:37,祝花撮影🌾,"
こんばんは🙂先日の幕張メッセでの個別握手会で、綺麗な祝花を送って下さりありがとうございました🌸今日は祝花とのお写真を載せていきます!勝手にお花の題名付けます。「サイリウムカラー」「女子力」「お花畑」「キティちゃん」「紅白歌合戦」「アメリカン」「美味しそう」「風船」「😍」本当にありがとうございました!今回着た浴衣がお花柄なので、お花とマッチしていていい感じですね(*'▽'*)プレゼントやお花、大切にします😍読んでくれてありがとうございました。⊿長沢菜々香
"
2018/09/18 06:24,ガールズアワード,"
こんにちは🙂昨日はガールズアワードでした!ランウェイ歩いたメンバー、お疲れ様〜すっごく可愛かったです!!ランウェイ後の欅坂のライブでは、ロッキンで着た大好きな赤の衣装で3曲やらせて頂きました(*'▽'*)衣装ごとに思い出が増えてゆく〜しほ頭のクマが可愛すぎて衝撃を受けました🐻 お人形(しほ)がお人形(クマ)乗せてる･･･ぺーちゃんピンク満載の衣装で可愛かった〜癒し☘はぶちゃん衣装すごく似合ってて私服でも着てそう😳はぶちゃんの着こなし力凄い･･･!みんなオシャレだったな〜また、ガールズアワード出れるといいな。明日は、祝花のブログを載せます🌸送ってくださったファンの方々、ありがとう。すきぴ。(語彙力の低下)読んでくれてありがとうございました。⊿長沢菜々香
"
2018/09/18 06:13,blt graph. Vol.35,"
こんにちは🐳9月12日発売の「blt graph. Vol.35」に掲載させて頂きました(*'▽'*)今日はその時のオフショットを載せようと思います!りぼんポーズ🎀黒のワンピースジャンプ!私服感強めいつもより大人っぽいメイクで小物とか雰囲気がアンティークっぽいスタジオでの撮影でした!こんなお家に住みたい🏡ぜひ、見てください(`・ω・´)ゝ読んでくれてありがとうございました。⊿長沢菜々香
"
2018/09/16 06:28,握手会久しぶり!,"
こんばんは🙂今日は、7枚目初めての個別握手会に来てくださったファンの皆様、ありがとうございました!夏最後ということで･･･予告通り浴衣を1から4部まで着ました!浴衣で初めてのギンガムチェック柄!浴衣って涼しくて快適でした☺️握手会はすごく久しぶりだったけど、ちゃんとみんな覚えててくれたので安心しましたε-(´∀`; )ﾌｩ欅って書けない? の笑わない選手権で優勝したことで色んなネタを考えてくれる方がたくさん来てくれて、そんなアイディアなかった!と思う会話で面白かったです(笑)歌ったり、写真を使ったり･･･芸人さんがいっぱいいたなあ(笑)そして、今日の2部終わりには、ねる生誕祭がありました!ねる、おめでとう〜ねるの生誕Tシャツ、頂きました!さっそく、もうお家で着てます(*b'v･)握手会をすると、男女問わずいろんな方に好きって言ってもらえるのでとても嬉しい😌普段は言われない嬉しい言葉を皆さんが言ってくれるのでやっぱり握手会って好きだなって思いました!みんな、本当にありがとう🌸今日は足を休めてゆっくり休んでね〜明日は、ガルアワです!ライブ頑張るぞ〜ぺ、頑張れ読んでくれてありがとうございました。⊿長沢菜々香
"
2018/09/15 00:56,浴衣見れるかな?,"
こんばんは🙂明日は!久しぶりの個別握手会です!!待ってた方々、お待たせしました〜🤝明日は、もう夏の終わり ということで･･･「浴衣」を着ようと思います(*'▽'*)いえーい!いえいいえーい!握手会で浴衣着るの、めちゃくちゃ久しぶりな気がする!今年初?かな!浴衣の時期の握手会ってレアですよね〜是非、見に来てください(  ¯﹀¯  )紺色のギンガムチェックの浴衣です👘メチャカリさん、いつもありがとうございます!なーこクイズ何をもってるでしょうか?おしゃなーこ幸せ毎日、食べたい。甘い→辛い→甘いを繰り返すのが幸せ🤤明日、楽しみに待っててね!雨の確率が高いので、傘のお忘れには注意ですよ⚠️読んでくれてありがとうございました。⊿長沢菜々香
"
2018/09/14 14:20,渋谷ストリーム,"
こんばんは🙂今日は、渋谷ストリームでライブがありました。渋谷ストリームが出来てから、初のライブが欅坂46でとても嬉しいです!本当にありがとうございます!渋谷ストリームには、たくさんのおしゃれなご飯屋さんが集結していて、これはいかないといけないな と、思っております(`・ω・´)ゝ2公演あるライブは久しぶりだったのですが、どちらの公演ともファンの方がニコニコして下さってて私もとても楽しい気持ちになりました(*'▽'*)終始笑顔のライブとなりました!夏のツアーより短めのセットリストでしたが、欅坂の始まりの曲から 今の曲までやることができ、自分たちは成長したんだなあ と、感じることが出来ました(  ¯﹀¯  )お写真りなーこ本を読むダニどうして笑ってるの(ﾟ∀ﾟﾉ)ﾉ読んでくれてありがとうございました。⊿長沢菜々香
"
2018/09/13 14:17,ライブだに〜,"
こんにちは🌞最近、旅に出たいです。ご当地アイスクリームをまわる旅!特に、金箔アイスが気になってます🍦いつか絶対するぞ〜(*'▽'*)今日は、ついに渋谷ストリームでのライブです!私たちの聖地･･･。渋谷に行った時にたまたま建物の隣を通りかかったのですが、すごく大きくて綺麗でびっくりしました😳こんな良いところでライブが出来るとは〜ワクワクです!初めての環境でのライブなので、今からすごく楽しみです✨来て下さる方は、遅延とか気をつけて下さいね〜🚆渋谷でお仕事っていいですね。なんかパリピ感。(イメージ)秋の味覚🍁🤤髪の毛、もしゃってる。気にしないで読んでくれてありがとうございました。⊿長沢菜々香
"
2018/09/12 03:48,マギアレコード,"
こんばんは🙂先日、けやき坂46の舞台 「マギアレコード」を見に行きました!ビジュアルポスターを見た時から、みんなすごく可愛くてずっと見たいと思っていたので、やっと見に行けて嬉しかったです!舞台が始まった瞬間、鳥肌が立ちました😳声量はすごいし、演技も歌も上手だし、ミュージカル風のダンスは可愛いし･･･感動しました!本当にアニメの中に入ってしまったような気分になりました💭特に印象に残ったのは戦うシーンで、めちゃくちゃ迫力があってかっこよかったです＼(◎o◎)/みんなそれぞれ持っている武器を使って戦っていたのですが、それを軽々と振り回していてびっくり!!絶対、難しいだろうに･･･。台詞の言い方もすごい聞きやすいし感情が伝わってくるし、本当に凄かったです!漢字欅は舞台をやったことがなくて舞台に関して全く知識がないのですが、ひらがなけやき すごいなあ と、思うことがよくあります!漢字欅も頑張らなければいけないなとあらためて思いました😑しほ が写真を撮ってくれたよ〜わー、目が綺麗!!元からお人形みたいなお顔なのにウィッグとカラコンでリアルお人形でした🎎可愛すぎる･･･生で見れて本当に良かった!!舞台、お疲れさまでしたm(_ _)m読んでくれてありがとうございました。⊿長沢菜々香
"
2018/09/11 14:08,銀魂2,"
こんばんは。先日、「銀魂2」を見に行きました🎥ギャグ強めで爆笑するシーンもあれば、感動するシーンもあって、あっという間に見終わってしまいました!最後のシーン、感動したなあ。。。そして、橋本環奈さんの変顔がすごく面白くて可愛くて画面に釘付けになりました😂😂新撰組も、かっこよかった!銀魂2 を見終わった後にジャンプフェスタに行ったので、銀魂のブースに行った時はテンション上がりました(*'▽'*)是非、見に行った方は来週の握手会で感想を語り合いましょ〜。載せたっけ?↓ガラスを割れ!のMVのときかな。美人だに緑の服欲しいなー読んでくれてありがとうございました。⊿長沢菜々香
"
