date,title,blog
2018/05/03 12:05,。,"


こんにちは、志田愛佳です。

先ほど、オフィシャルサイトで発表させていただきましたが、欅坂46の活動を休業させていただくことになりました。

多くの方にご心配をおかけし、申し訳ありません。
心配をしてくださってることに、心から感謝します。そして、申し訳ない気持ちでいっぱいです。


2月ごろから、体調を崩すことが多くなり、少しずつお休みをいただくことが多くなってきました。



3月に病院に行き先生と話した結果、長期の休養が必要ということでスタッフさんと話し欅坂46の活動を休業させていただくことになりました。

私は思いを言葉にするのが苦手です。

誤解されてるなと感じることも多いけどそれも私なので、仕方ないと感じることもあり、

そんな私の相談をいつでも親身になって聞いてくれる友達、メンバーも、スタッフさんも本当にありがたくて、大切だから、その人たちに迷惑をかけてしまうことがあるのは、本当に申し訳ないです。



時間をいただけたらうれしいです。




志田愛佳

  "
2018/03/06 18:36,ちぇきちぇき。,"
こんにちは。ただ今発売中のfridayさんに載せていただいてます。オフェロな感じで撮影とっても楽しかったです。ぜひゲットしてください。チェキもゲットしてね。 またね。
"
2018/02/27 17:20,ViVi。,"
こんにちは。ViVi四月号に出させて頂いてます。かわいい洋服準備してくださったスタイリストさんに、わたしの大好きなメイクさんでした。また一緒に是非お仕事したいです。またね。
"
2018/02/11 21:19,らすと。,"
こんばんは。5枚目最後の個別握手会ありがとうござました。4部休んでしまってすみません。6枚目も楽しみにしてます。きょーこりん❤︎髪の毛赤にした。一番好きな色。美容師さんいつもしてほしい色にしてくれる。嬉しい。またね。!
"
2018/02/05 00:20,握手会,"
握手会ありがとございました~。!きょんこ。年下にみえる笑またね、^ - ^
"
2018/01/25 15:42,肩凝り。,"
肩こりやばい。こりすぎててやばい。お風呂につかろー。!最近寒すぎる。ベットから寝たくない。最近友達に朝毎日起こしてもらってる。もう訳ない。笑最近の溶けてる写真。なんでこんなにぶれるの。美容師さんにしてもらった。可愛い髪形。美容院でもいくか。またね。
"
2018/01/21 03:53,お腹すいた。,"
握手会ありがとうございました。!ヨネと楽しかったー、!でも写真撮ってないきょんこ〜きょんきょん。またね〜
"
2018/01/14 23:11,寒い。,"
名古屋での握手会2日間ありがとございました〜。!京子とたのしかったー。!完全にホスト。笑ホストと女の子。笑笑耳つけろっていわれたので嫌々付けたけど、ノリノリで撮った写真。いえーい。またね。!
"
2018/01/10 00:17,☺︎,"
こんにちは。握手会ありがとうござました。紅白歌合戦での過呼吸で心配とご迷惑おかけしてごめんなさい。いまはとっても元気です。!今年も宜しくお願いします。☺︎
"
2017/12/22 16:43,☺︎,"
こんにちは。今月号の ViViさんと、最終号となるZipperさんに出させて頂いてます。!ViViさんは星座占いで全ての星座をメンバー12人がしていますー。!初めての雰囲気のメイクでとっても新鮮でした〜。!そして、最終号となるZipperさんにも出させていただいてます。何回か撮影をさせて頂いてとてもいい経験をさせていただきました。どちらも是非ゲットしてみてください〜。!☺︎
"
