date,title,blog
2018/09/17 00:01,握手会スタート!!,"
こんばんは🌙昨日は7枚目シングルの個別握手会が開催されました🙂2ヶ月久しぶりの握手会ということで結構緊張していました!!!楽しんでいただけましたか?久しぶりにお会いできたみなさんの元気な姿を見ることができて嬉しかったです!それに、昨日はほとんどが初めましての方でし!これからよろしくお願いします⸜⌄̈⃝⸝‍夏に握手会がなかったので、ちょっと季節外れではありましたが浴衣を着ました🍉メチャカリさんで見つけて、どタイプですぐにお借りしたんです!優しいにじかが慣れた手つきで着付けをしてくれて本当に助かりました🙇🏻‍♀️ありがとう(^^)来年こそは浴衣着てお祭りに行けたらいいな︎ ⤴︎ふーちゃんも浴衣でした✨ゆかたーず素敵なお花もどうもありがとうございました❀✿次は来週の名古屋全握、個握ですね!また沢山お話ししましょー︎ ⤴︎✽+†+✽――✽+†+✽――✽+†+✽――今日はこれからGirlsAwardに出演させていただきます♪みんなのランウェイかっこよかったな💃今回は欅坂46が初めてトリを努めさせていただき光栄です✨ステージ頑張ってきます!!✽+†+✽――✽+†+✽――✽+†+✽――明日は「MUSIC STATION ウルトラFES 2018」に出演させていただきます!!!生放送で3曲披露させていただくので楽しみです!14:00～と17:00～の枠に出させていただく予定ですので、テレビの前で見守っていてください😆それではまた明日✨                                                     ゆっかー
"
2018/09/15 01:01,念願の♤,"
こんばんは🌙今日はてちの主演映画『響-HIBIKI-』の公開日!ずっと楽しみにしていました!!皆さんはもう観られましたか?私も近いうちに必ず観に行きます(^^)✽+†+✽――✽+†+✽――✽+†+✽――渋谷の複合商業施設、渋谷ストリームが昨日オープンしました✨開業おめでとうございます⸜⌄̈⃝⸝‍ここは更地だった時にデビューシングル「サイレントマジョリティー」のMVを撮らせていただいた場所です!あの時色々な偶然が重なって色々な方のご好意のお陰で あのMVができました。あれから2年半、またこうして同じ場所でこけら落としイベントに参加させていただけて とても感慨深いです☺️イベントにお越しいただいたみなさんどうもありがとうございました!私は開業を記念したオープニングセレモニーにも出席させていただきました!貴重な場、本当に緊張しちゃったけれど一緒にお祝いする事が出来て光栄でした✨サイマジョのジャケット写真を撮った渋谷川の目の前でのセレモニーだったのですが、渋谷川がすごーく綺麗に生まれ変わっていてびっくり!!!夜はライトアップされています✨渋谷ストリームには今どきの美味しそうなレストランも沢山ありました☺️今度食べに行きたいな♪ありがたいことに17日まで映像上映や、サイマジョの衣装や当時の写真の展示が行なわれています!ぜひぜひ渋谷ストリームに遊びにいらしたついでに見てみてください👍🏻✽+†+✽――✽+†+✽――✽+†+✽――くみちゃんと、念願の「ジャンプ展」とご飯に行ってきました🍽そうしたら偶然、出入口でにぶちゃんとまなもちゃんに会ってびっくり!!!ジャンプ展が面白かったみたいでめちゃくちゃテンション上がってました!!笑漫画はすごく詳しいわけではないけれど貴重な原画や描き下ろしイラストを沢山見ることが出来てとっても楽しかったです!「HUNTER × HUNTER」コーナーでは嬉しすぎる絵を発見!!!ヒソカがひらがなポーズクロロがサイマジョポーズをしてくださっているんです😭🙌🏻写真撮影OKだったので思わず撮っちゃいました!連載も再開されるみたいで、とっても楽しみにしています⸜⌄̈⃝⸝‍「ゴンのありったけを込めたパフェ」のパンチが強い!!笑美味しかったです(^^)オテンキのりさんが喜びそうな物も見つけて買って帰りました👍🏻くみちゃんとは同い年だからか自然体でいられるし、色々なお話しできてよかったです!また行こう♪✽+†+✽――✽+†+✽――✽+†+✽――明日から7枚目シングルの握手会が始まります!久しぶりの握手会だから緊張するけれど沢山楽しいお話しできたら嬉しいです⸜⌄̈⃝⸝‍明日の服はもう決めたぞ!!来てくださるみなさん、お気をつけていらしてください👍🏻楽しみにしています!それではまた明日♪                                                     ゆっかー
"
2018/09/12 03:47,怪盗クランキー🎩,"
こんばんは🌙もう9月ですね!学校始まってますか?お仕事お忙しいですか?秋が近付いています!秋は気温も丁度良いしご飯が美味しいし、紅葉も綺麗だし、ハロウィンもある!大好きな季節です🌰🍂大変なこともあるかと思いますがこの季節を一緒に楽しみましょー♪ロッテ「クランキー」の新CM「名探偵ねるの事件簿〜怪盗クランキーからの挑戦状〜中級問題篇」がYouTubeで公開されました♪もう観て下さいましたか?犯人である怪盗クランキーは誰だか分かりましたか!?実は私でした🎩←!!!へっへっへー👅怪盗クランキーの演技楽しかったです!笑ドヤ顔とやられた顔が難しかった🙌🏻今回の事件の暗号の回答はTwitter#かむたびチョコサクで募集中です🙂正解は後日ロッテのYouTube公式チャンネル「LotteChocomotionTV」にアップされるので楽しみにしていてください🍫変なポーズ✽+†+✽――✽+†+✽――✽+†+✽――・現在発売中の雑誌『歴史街道』さんの連載  「動物」と「歴史」の意外な関係 今回は爬虫類について生物学者の加藤英明先生に教えていただきました♪爬虫類はあまり馴染みがなかったけれど、お話しの最後の方は写真がとっても可愛く見えてきました✨分かりやすく教えていただけて嬉しかったです!今回は後編!ぜひ読んでください!動物と言えば、最近も猫のトム元気です♪・雑誌『日経エンタテインメント!』さんの連載   「お嬢様はいつも真剣勝負」 今回は全国ツアーについてこだわったポイントなど、色々語らせていただきました🙂てちのインタビューも載っているのでぜひチェックしてください👍🏻✽+†+✽――✽+†+✽――✽+†+✽――今週9/13についに、「渋谷ストリーム」が開業します!1stシングル「サイレントマジョリティー」のMV撮影をした時は更地だったあの場所が、ついに完成するという事でとても感慨深いです!!!とても光栄なことに、オープニングセレモニーに参加させていただきます!緊張するけれど楽しみだな😊欅坂46でミニライブも開催させて頂きますので楽しみにしていてください♪特別映像上映も14日～17日までありますので合わせてお楽しみください✨✽+†+✽――✽+†+✽――✽+†+✽――『シュタインズ・ゲート』のうーぱのお洋服いただきました♪  かわいくて最近レッスンで大活躍中です♡それではまたね✨                                                     ゆっかー
"
2018/09/08 13:06,全国ツアー☼2018,"
こんにちは☼欅坂46 夏の全国ツアー 2018 完走いたしました✨お越しくださったみなさん、エールを送ってくださったみなさん、本当にどうもありがとうございました!福岡・新潟・横浜・神戸・幕張5箇所11公演どこもその日しかできない、意味のあるライブでした。お越しいただいたみなさんと一体となってその瞬間を共有し、沢山の心強いスタッフさん方に支えられメンバーみんなで挑むことができて本当によかったです。千秋楽最後のダブルアンコール挑んだメンバーみんなでステージに立つことができて本当にほっとしました。多分2ℓくらい泣きました。笑最終日のスタッフさんによるサプライズステージの裏側に書いてくださった「KEYAKI ブチカマセ」嬉しかったなあ☺️気合い入りました🔥沢山の素敵な祝花もとっても嬉しかったです🌷どうもありがとうございました⸜⌄̈⃝⸝‍横浜アリーナの景色舞台のセットも照明も格好良くて大好きでした!ただ、50mもある花道は運動音痴の私には走るのが少し大変でした‪‪🏃笑でもその先にある、回転する円形ステージに行くとお客さんと距離が近くて嬉しかったな。推しメンタオルも全会場で見つけることができて力になりました☺️本当にありがとうございます。今回の演出もセトリも今までの欅坂46が詰まっていて、この3年間をぶつけるつもりで挑みました!千秋楽を終えて感じたのは応援してくださるみなさんの存在が大きすぎるという事です。ライブって本当に何があるか分からない!最終日の「サイレントマジョリティー」の時のみなさんの歌声、忘れられません。あの時嬉しかったけれど、もっと何か出来るんじゃないかって悔しくて、この優しさに甘えてばかりではいけない!もっと強くならなきゃ!って思いを噛み締めていました。みなさんにはいつも助けていただいてばかりです。本当に何とお礼を言ったらいいのか分かりません。これまで以上に恩返しできるように頑張ります!!幕張1日目、20歳のお誕生日を迎えたねる🎂おめでとう!!!頑張り屋さんのねるにいつも刺激を受けています。ずっと早く大人になりたいって言っていたけど、やっとなれたね!私にとって、真面目な話しも、おかしな話しもできる大切な存在です!素敵な一年になりますように(^^)TAKAHIRO先生のお誕生日も、ねると同じ日でした✨アンコールの時、私の独断で突然お誕生日のことを言い出してしまいました(笑)歌うのはまずいかな?と迷っていたら、ねるが歌おうって言ってくれて、会場のみなさんも一緒に歌ってくださって!サプライズでお祝いすることができて本当に嬉しかったです♪TAKAHIRO先生と出会えていなかったら欅坂は全く違うグループになっていたと思います。デビュー作から変わらず全ての曲の振り付けをしてくださっていること、本当にありがたいです。尊敬している大先生です。これからもどうぞ宜しくお願い致します。ずっと一緒にツアーを回ってくれた理科室セットの人体模型くんもありがとう!笑ツアー中、ライブに関わってくださっているスタッフさん方との懇親会があったのですが、その時当たっていただいたTシャツ、すごく気に入っています✨レッスン着ださいの卒業!あー、改めて欅坂の夏が終わっちゃったんだなあ(  ˙࿁˙ )ᐝ今年もツアーを回らせていただけて嬉しかったです。関わってくださったみなさま本当にどうもありがとうございました。課題がまた見つかりました。まだまだ挑戦したいことが沢山!少しだけ力を蓄えて、これから年末まで駆け抜けられたらいいな!改めて、欅坂46に出会ってくれてありがとうございます。これからも私たちに付いてきてください!!                                                     ゆっかー
"
2018/09/03 23:10,ヤンマガ✨,"
こんばんは!今日発売の「週刊ヤングマガジン」の表紙・巻頭を務めさせていただいています✨とっても嬉しいです₍₍ ( * ॑  ॑* ) ⁾⁾おしゃれなカフェでハンバーガーを食べたり、ちょっとしたプールに入ったり、夏休みの最後のひと時を楽しんでいる気分でした♪こんな壁を発見´•ﻌ•`🐾✨おしゃれなわんちゃん!!可愛い衣装も沢山着させていただけて嬉しかったです⸜⌄̈⃝⸝‍そしてそして、写真集を撮っていただいたLUCKMANさんにまたまた撮っていただけて嬉しかったです😊📸撮影途中、初めてキックボードに挑戦したんですけれど、全然まっすぐ進めませんでした(笑)秋も近付いて来ているみたいですが、最後に夏を感じていただけるようなグラビアになっていると思います🍍😎ぜひお近くの書店やコンビニで手に入れてみてください☺️✽+†+✽――✽+†+✽――✽+†+✽――今日は、ラジオ「レコメン!」です🙂週に1回の楽しみ!レコメンリスナー事件簿やオテンキのりさんと私へのお悩み相談、質問メールなど、なんでもいいので随時募集中です👍🏻どしどし送っちゃってください📲メールアドレスはreco@joqr.netです😊今日も沢山メール読めたらいいな♪のりさんとのフリートークもいっぱいできたらいいな!それではまた後で✨                                                     ゆっかー
"
2018/09/03 16:15,神戸の思い出,"
こんばんは🌙全国ツアーin神戸 終了しました🎶来てくださったみなさんエールを送ってくださったみなさんどうもありがとうございました⸜⌄̈⃝⸝‍去年は神戸がツアーの初日でしたが、今年は神戸が地方公演ラストで嬉しいことに初めての3Daysでした!みなさんのおかげで、次に繋がるとても意味のある3日間になったと思います!あかねー!ふーちゃん!一年ぶりの神戸でしたが、来る度に大好きになります😆遠征中、神戸牛の焼きしゃぶの美味しいお店に連れて行っていただきました😊見てください〜このお肉❤ぺーちゃん、しーちゃん、もんちゃんと同じ席でした(^^)もんちゃんがお肉を焼くのがすごく上手で流石でした!私が焼くとお肉がファイヤーしちゃって大事な1枚を丸焦げにしてしまいました。。。泣カリカリで美味しかったけど😗笑ひたすら美味しいをお肉いただいて、みんなでお話して幸せな夜だったな〜☺️ケータリングで美味しい豚まんや明石焼き、神戸牛などなどを出してくださって最高でした!はぶちゃんと感動してました!✨そんな美味しい神戸のご飯のおかげでライブも頑張ることができました🔥神戸の暖かいみなさん、改めてありがとうございました!!そして、みなさんの思いも乗せて明日からの幕張公演に挑みたいと思います!!!また帰って来ることが出来るように頑張ります!それではまたね♪                                                     ゆっかー
"
2018/08/29 23:54,クランキー🍫♪,"
こんばんは🌙最近、トムが特に甘えん坊です( ˙꒳​˙ )可愛くて可愛くて仕方がない。家族でお話ししていると必ずみんなの視界に入る所でポーズをとったり、ソファに座っているとお膝に乗ってきたり!なんだかんだずっとそばにいてくれます☺️トムがいてくれるから頑張れます⸜⌄̈⃝⸝‍これからもよろしくね!✽+†+✽――✽+†+✽――✽+†+✽――ロッテ｢クランキー｣のCMに出演させていただいています🍫クランキー大好きだから本当に嬉しい!!!怪盗クランキーが残した謎に、名探偵ねるが挑むストーリーです!撮影では、クランキーを沢山食べることができました😆こんなにチョコ食べたのいつぶりだろう?ってくらい沢山!!!ラッキー♪と思いながら美味しくいただきました☺️CMでは食べようとしていたチョコが怪盗クランキーに盗まれていて、｢きゃー!｣と叫ぶシーンがあります!そこが難しかったです!!!気合を入れすぎて、監督さんに｢ホラー映画みたいだからもっとコミカルに!｣とアドバイスもいただいちゃいました(笑)顔芸やりすぎちゃった( ૦هᐤ )!果たして怪盗クランキーは誰なのか!?みなさんも一緒に謎解きしてみてくださいね🔎✽+†+✽――✽+†+✽――✽+†+✽――お仕事の合間に、原宿の｢FUJIFILM WONDER PHOTO SHOP｣に1人でふらっと遊びに行ってきました📸最新のチェキなどが沢山置いてありました!のりさんの2nd写真集｢ヒマンセ｣もサイン入りで展示してありました!うぉーずまんのイラストが!笑｢ヒマンセ｣も｢フィアンセ｣も熟読している方が沢山いらして嬉しかったです😆みなさん足を運んでくださっているんだな〜☺️そんな風景を見ることができて嬉しかったです☼ちょうどチェキが欲しくなっていたのでお店の方に沢山質問しちゃいました!どれにするか迷い中だけど、決めたら買いに行きたいです📸楽しいので、まだ行っていない方はぜひ遊びに行ってみてくださいね!✽+†+✽――✽+†+✽――✽+†+✽――明日から3日間、神戸でライブです✨来て下さるみなさん、一緒に楽しみましょー♪いらっしゃらないみなさんもエール送ってくださったら嬉しいです☺️がんばるぞー!!!それではまたね⸜⌄̈⃝⸝‍                                                     ゆっかー
"
2018/08/26 14:49,あるある,"
こんばんは🌙最近、お洋服を買いに行くともう秋服が充実していて、夏も終わりに近付いているんだなと実感します🍂時が経つの早すぎる!この間まで3月だったのに!夏休みもあっという間に後半戦ですね‪‪💦‬学生のみんなは、夏休みの宿題進んでますか?社会人のみなさんはきっとお仕事ですよね?大変だと思うけれど、がんばりきですっ🐴✏️✽+†+✽――✽+†+✽――✽+†+✽――ここでお知らせ♪8/25(土)～9/5(日)まで｢レコメン!夏休み限定!ヒマンセ・フィアンセ特別展示コーナー｣が開催されます✨場所は、原宿の｢FUJIFILM WONDER PHOTO SHOP｣で、富士フィルムのフォトジンで制作したのりさんの2nd 写真集｢ヒマンセ｣と、私の1st 写真集｢フィアンセ｣を比較して楽しめる展示です😆｢ヒマンセ｣は完成度がホントに高くて、ぜひともみなさんにも比較して見ていただきたかったので、こんな企画が実現して嬉しい!!!個人的には、のりさんと馬の写真がツボです🐴笑また、レコメン!の1週間をチェキで撮影して大公開しています!私もある週に撮影しました📸のりさんのこと不意打ちに撮影したんですけど、その写真が面白すぎて🤣展示してあるといいなー(笑)あれから、チェキの楽しさにハマって自分でも買ってみようかなと思っています😆📸さらに!レコメン!の公式LINEで配信される画像を店員さんに見せると、オテンキのりさんのヒマンセオリジナルチェキをプレゼント🎁ぜひ夏休みの思い出に足を運んでみてくださいね☀️✽+†+✽――✽+†+✽――✽+†+✽――全国ツアーin横浜アリーナどうもありがとうございました✨横浜アリーナは、イベントで何度か立たせていただいたことはあったのですが、単独ライブは初めて!!結成3周年のこのタイミングで1つ夢が叶ってとっても感慨深かったです!みなさんからの素敵なプレゼントだなあ☺️スタッフさんからも、すっごく可愛いお祝いのケーキをいただきました😆虹や、木のクッキーがとっても可愛い🌈 お世話になっているメイクさんのお母様が作ってくださった手作りクッキーです!すごすぎる!本当にどうもありがとうございます☺️ツアーを回りながら毎公演、試行錯誤しながら挑んでいます。一筋縄では行かないこともあるけれどこのツアーが終わった時に何か得られるものがきっとあるはず!満足していただけるように頑張ります!おぜ!MCあるある前に｢尾関はどう?｣というフレーズを何回か使っちゃったことがあって、それをスタッフさんによくいじられます(笑)この間のライブで、事前に尾関に話を聞くことを伝えた上であえて｢尾関はどう?｣を使ってみたら、答え方が難しかったみたいで、本人は困っちゃったみたいでした😂🙏🏻ごめんねー🙏🏻もう使いません(笑)次は神戸!!楽しみにしていてください✌🏻️それではまたねー✨                                                     ゆっかー
"
2018/08/22 02:36,エール🐴,"
こんばんは🌙本日2度目の更新です♪現在、馬術のアジア大会がジャカルタで開催されています🐴!昨日行われた馬場馬術の団体戦では、なんと日本チームが金メダルを獲得!!!✨1994年の広島大会以来、6大会ぶりの優勝です!本当に本当におめでとうございます🥇今日は個人戦が行われて、レベルの高い争いの中大健闘で凄いなと思いました!個人戦の決勝は23日に行われます!心からエールを送りたいです!これから、総合馬術、障害馬術の試合も行われます!!!みなさんも一緒に応援しましょー🐴🇯🇵✽+†+✽――✽+†+✽――✽+†+✽――現在発売中の｢FLASH スペシャル｣さんの表紙をあかねと担当させていただいています✨カメラマンさんは、私の写真集｢フィアンセ｣を撮ってくださったLACKMANさんで、とっても楽しかったです😆📷ホースで水浴びをしたのですが、あかねの迫力が凄かった!!👍🏻沢山笑いました!大好きなうなぎも、美味しかったなあ😆インタビューでは真面目なお話しもしましたよ👍🏻なんと今回はローソン限定版の表紙もあるんです!!ローソン店内のマルチコピー機｢こんぷりん｣では欅坂46、けやき坂46、計8名のオリジナルブロマイドをローソン限定販売中です✨可愛い衣装、沢山着させていただけて嬉しいです!ぜひGETしてください☺️✽+†+✽――✽+†+✽――✽+†+✽――最近のマイブームは｢Mrs.GREEN APPLE｣さんの曲を聴くことです♪共感できる歌詞、前向きになれる曲がたくさん!｢どこかで日は昇る｣｢アウフヘーベン｣｢ア・プリオリ｣｢They are｣特に好きです♪それではまたねー✨                                                     ゆっかー
"
2018/08/22 02:34,記念日✨,"
こんにちは☀️今日、8/21で欅坂46は結成3周年を迎えることができました✨こうして欅坂が3年活動できたのはそばで支えてくださるみなさんといつも応援してくださるみなさんのお陰です!!!本当にどうもありがとうございます!思えば、年齢も生まれ育った場所や環境もバラバラの私たちがこうして集まって、今では家族みたいに毎日一緒にいるって面白い!3年間、本当に色々なことがありました。辛いこともあったけれど、その分沢山笑ってみんなで過ごしてこれました!これからも欅坂46がずっとつづいて行けたらいいな。4年目も応援よろしくお願いいたします!✽+†+✽――✽+†+✽――✽+†+✽――先週はMステさんに出演させていただきました!観てくださいましたか?久しぶりのMステでしたし「アンビバレント」TV初披露だったのでド緊張でした😨でも、トークの時クレヨンしんちゃんが話しかけてくれたおかげで緊張が和らぎました☺️しんちゃんありがとう♡とってもありがたいことに、｢アンビバレント｣オリコン1位をいただけました😭本当に嬉しいです!!!これからも色々なことに挑戦していきたいです!✽+†+✽――✽+†+✽――✽+†+✽――全国ツアー、新潟公演終わりました!来てくださったみなさん、ありがとうございました😌新潟には｢けやき坂｣もありますし、こ縁を感じています✨おすすめのバスセンターのカレーいかがでしたか🍛?みいちゃんとお米ポーズ🌾また新潟に帰って来たいです!あと残り3都市、楽しみましょう♪それではまたね✨                                                     ゆっかー
"
2018/08/17 18:27,久しぶりの再会🐴,"
こんにちは☀️

最近、久しぶりに馬に会いに行ったんです🐴

その名もヴォルフラム!

私が高校1年生の時から4年間お世話になった
とっても大好きなお馬さんです!

｢サイレントマジョリティー｣のCD特典の個人PVにも一緒に出演して貰いました🙂



3年ぶりくらいの再開だったんですけど、
私よりもにんじんに興味津々でした。。。🥕

食べ物に負けた😭笑





後ろの黒い馬もカメラ目線!笑


相変わらずのほほんとしていて
元気そうで本当よかったです☺️




ぺろぺろ




ひひーん!!




はあ大好き。


また様子見に行かせてもらいたいです☺️そんなお馬さん、乗馬のことが分かるサイト｢A to Zinba｣のコラム｢教えて!ゆっかー｣が更新されました✨みなさんから寄せられた素朴な疑問を解決しています♪ぜひぜひお気軽にサイトに遊びに来てください🐴
http://www.atozinba.com/みなさんが感じている｢馬術に対するハテナ?｣にどんどん答えていきたいと思いますので質問フォームからドシドシ送ってくださいね😆待ってまーす✌🏻️✽+†+✽――✽+†+✽――✽+†+✽――｢欅共和国 2017｣のDVD/Blu-rayの発売日が2018年9月26日に決定しました!!!去年の共和国は今でも忘れられないライブで、私自身もDVDになるのを希望していたので嬉しいです!CDショップチェーン別に色々な特典があるのでぜひチェックしてみてください👐🏻✽+†+✽――✽+†+✽――✽+†+✽――今日はこのあとMステに出演させていただきます!｢アンビバレント｣はテレビ初披露!✨気合を入れて頑張ります!19:55～の｢ミニステ｣からチェックしてみてください!それではまたあとで♪                                                     ゆっかー
"
2018/08/15 20:53,アンビバレント!!!,"
こんにちは☀️
 
 
今日は欅坂46の7枚目シングル｢アンビバレント｣の発売日です✨
 
 
ついに来ましたね〜!
 
 
 
 
最初｢アンビバレント｣の音源を聴いた時、
あ、私の好きな感じだ!!!
とすぐにピンと来ました!
 
大サビの前のタメがテンション上がります!!
 
 
きっとこの曲の
 
1人になりたい
なりたくない
 
 
そんな相反する感情は、
誰もが共感できるんじゃないかな?と思います!
 
 
私も人間関係がもともと器用な方ではないので
みんなと騒いでいるのにふと寂しくなったり
どうしても疲れて1人になりたくなったり
でもみんなといるのが好きだったり、
そんな複雑な気持ちになることがあります!
 
 
だけどこの曲は、そんなもやもやも吹っ飛ばしてくれるような明るい曲調で、夏にピッタリ♪
 
 
実際にライブで歌うとすーごく盛り上がるので本当に大好きな1曲になりました✨
 
たくさんの方々に届くといいなー♪
 
 
 
全員で歌うカップリング曲、今回は2曲あります!
 
 
 
 
｢Student Dance」
 
この曲は、夜中に学校に忍び込んで恋をしちゃうというちょっと挑戦的な曲ですね!
 
MVもう観てくださいましたか?
 
 
見せる側、見る側
創られる側、創る側、それとも観客
どこまでが現実でどこからが虚構なのか...
 
そんな曖昧な境界を円形ステージで表現し、
作品にしていただきました!
 
 
撮影の時♪
 

 
 
｢サイレントマジョリティー｣のMVと同じ、
池田監督に撮っていただきました✨
 
ぜひ観てください!
 
 
 
｢I'm out｣
 
この曲は振付がついて踊っているうちにどんどん好きになりました!
 
主人公が
唾を履いたり、噛んでたガムを金網につけたり
 
きっとまだ子供なんです。
 
でも、権力者に未来を取り上げられてしまう現実に不満を持ち、自分の足で蹴りをつける勇気の出る曲だと受け取っています!
 
ゆっくりとした曲調だけど、
自然と力がみなぎってくるのでぜひ沢山聴いてください!
 
 
 
その他にも、
ねる・おぜ・みいちゃんのかわいらしいユニット曲｢音楽室に片思い｣
 
はぶちゃん・ゆいぽんからなる線香姉妹の｢302号室｣
 
ずみこのソロ曲｢日が昇るまで｣
 
それぞれ違った魅力のあるいい曲ばかり!
 
 
 
 
 
特典映像は、今回はひらがなけやきと漢字欅が自撮りでペアロケをしてきました!
 
私はくみちゃんと高尾山に行ってきましたよー🗻
 
 
 

 
 
くみちゃんは同い年だし話しやすいし、何より楽しかったです✨
 
このロケをきっかけに距離が縮まってとっても嬉しいです!!!
 
途中で食べたお団子が、本当に美味しくて忘れられない。。。😭
 
おみくじを引いたり、
キャプテン同士ならではの会話もしました!
 
自撮りだったので、あまりかしこまらず自然体でいられました!
 
りな・ねる・みいちゃん・ななこ・私がジャケットに写っている
初回限定盤のType-Cに収録されています👍🏻
 
ぜひみてくださいねー!
 
 
 
 
 
今夜は発売日ということで、
25:00～生放送で｢欅坂46のオールナイトニッポン」をお届けいたします!
 
パーソナリティは、ねる・みいちゃん・はぶちゃん・私です!
 
｢最高の夏休みの1日｣を楽しむ企画があるみたいで、すごくわくわくしています!
 
がんばるぞー!
 
SHOWROOMでもその模様が生配信されるので楽しみにしていてくださいね✨
 
 
 
 
ラジオと言えば、
一昨日の｢レコメン!｣はのりさんが夏休みということで、メンバーだけで3時間生放送させていただきました!!!
 
だにとおぜが遊びに来てくれました!
 
至らぬ点も多かったのですが
心広く聞いて下さったみなさん、
どうもありがとうございました🙇🏻‍♀️
 
私にとってラジオ生放送の仕切りは大きな挑戦でした!
 
普段、OAギリギリまでのりさんがお手洗いから帰っていらっしゃらないだけでハラハラするのに、
自分たちだけで3時間なんて!
 
 
緊張しすぎて普段より噛んでしまったし、
焦っちゃったし、
なんでこんなにも空回りしちゃうんだろうって
本当に反省。
 
いつもいかにのりさんが面白く助けてくださっているか改めて実感しました!
 
3時間任せていただけたことはありがたいことですし、
何よりとっても勉強になりました!
 
この経験を胸に、
これからパーソナリティとしてもっと成長できるように頑張っていきます💪🏻
 
 
のりさんのおみやげ楽しみだなー😙笑
 
 
それではまたね♪
 
 
 
 

 
 

 
                                                     ゆっかー

"
2018/08/13 17:12,福岡ありがとう😊,"
こんにちは!お盆休みですが、みなさん満喫できてますか?欅坂46は全国ツアーが始まりました✨まずは福岡公演、2日間どうもありがとうございました♪福岡の皆さんはとても暖かくて、沢山の声援を送ってくださいました😆上の方の席までぎっしり綺麗なサイリウムが見えて九州にもこんなに応援してくださる方がいらっしゃるんだ!って励みになりました!!!漢字欅だけのツアーは初めてで、今回は18人で挑むこととなりましたが、今の欅坂の全てがつまった内容になっているんじゃないかなと思います!しーちゃんの脚も早く良くなりますように。初日はスタッフさんからこんなエールが💪🏻舞台裏で気合が入りました💪🏻今回もセットも演出もすごく考え抜いていただいて、1曲1曲に意味のある構成です。まだお話しできないこともあるのですが、この世界観をとにかく観て感じていただきたいので、伝えられるように頑張ります!新ユニット｢線香姉妹｣の2人!福岡では、ご飯にも連れて行っていただきました!ご飯タイムは、スタッフさん方やTAKAHIRO先生をはじめダンサーさん方、メンバーとゆっくりお話しが出来て楽しいです✨念願のごまさばや明太子などなど福岡の美味しいご飯が堪能できました〜♪帰るのが名残惜しい。。。7thの握手会で福岡に行けないけれどまた何かしらの形で福岡に帰って来たいです!ケータリングブースにもこんな装飾が!嬉しい😆本当にどうもありがとうございました!これから新潟・横浜・神戸・幕張での公演があります!みなさん待っていてくださいね✨今回の夏の全国ツアー開催を記念して｢KEYAKI～2018 summer ツアーメモリアルBOOK〜｣を制作していただき、現在発売中です✨欅坂の｢かっこいい｣と｢かわいい｣が詰まっていて、表紙も3種類あります♪早速発売日にローソンさんでも見つけてテンション上がりました⤴1人1ページを好きにプロデュースして良いという贅沢すぎる企画や、可愛い写真、かっこいい写真ロングインタビュー、浅草デート企画など色々なことに挑戦させていただきました!個人的には、メンバー全員の調査企画を読むのが面白かったです!テンションが上がる1曲や好きな人が友達と被ったら...などは意外な回答が多くてびっくり!!!私はいただいた1ページを大好きな猫との撮影で使わせていただきました♪愛猫トムとは撮っていただいたことがあったのですが、モデル猫ちゃんとの撮影は初めて♡この時一緒に登場してくれたブギーちゃんは本当に本当にキュートで大人しくて優しいモデル猫ちゃんでした😂私は生まれた時からチンチラゴールデンとチンチラシルバーの猫と暮らしていたので、久しぶりに同じ種類の猫ちゃんと戯れることができて、懐かしい気持ちになりました☺️お膝の上に乗ってくれてそのまま動かなくて、一緒に連れて帰りたかったです😭ブギーちゃんの他にも、元気な子猫ちゃんも来てくれていて癒しと爆笑の楽しい撮影現場でした!笑書店の他にライブ会場でも販売しているのでぜひぜひ集めてくださいね👐🏻✽+†+✽――✽+†+✽――✽+†+✽――今晩は、ラジオ｢レコメン!｣におだななとおぜちゃんが登場してくれます!のりさんが夏休み中で、3人で生放送です!!!のりさんのいらっしゃらないレコメンは初めてなのでドッキドキですが、メンバーだけだからこそ出来る｢レコメン!女子だけ学級会!｣で盛り上がれたらと思います♪女子ならではのお悩みはもちろん、直接女子に聞いてみたい男子ならではのお悩みなど何でも募集しています✨いつもより早い22:00～3時間!盛りだくさんなのでぜひ聴いてくださいね♪それでは、一緒に夏を楽しみましょー🍍                                                     ゆっかー
"
2018/08/09 16:49,,"
こんにちは今日は長崎原爆の日です。犠牲になられた方々の冥福をお祈り申し上げます。中継で平和記念式典の平和宣言を観ました。73年経った今、私は原爆を経験していない世代ですが、被爆された方々が伝えてくださる平和の尊さを決して忘れてはならないと思いました。思いやりに溢れる世界でありますように。━━━━━━━━━━━━━━━━━━━私たちは、今週末に迫った全国ツアー初日に向けてリハーサルをしています!少しずつ着実に前に進んでいくために今日も頑張ります!楽しみにしていてください!東方地方に強い台風が近づいているみたいです。くれぐれもお気をつけくださいね。                                       菅井友香
"
