date,title,blog
2018/06/22 13:51,夏,"
こんにちは🐣ブログの更新遅くなってすみません。今年の夏も欅共和国と全国ツアーが決まりましたね🌈去年の夏はとても濃くて充実した日々を過ごしました。共和国では思いっきりハシャぎたいです。梅雨はあまり好きじゃないけど、夏が近づいてくる感じが楽しいですね!今年の夏も共に楽しみましょう🌻🌻みゆ
"
2018/01/05 15:31,2018年,"





ご挨拶遅れてしまいすみません。



新年明けましておめでとうございます。



2018年になりました✨



2017年では、


不協和音リリース

1周年ライブ

ドラマ

1stアルバムリリース

野外ライブ、フェス

全国ツアー

風に吹かれてもリリース



他にもたくさんのことを経験させて頂きました。



でも正直私の中でやり残したこと、心残りなことが沢山あります。


2018年を終える時に同じことを思っていないように、充実した1年間を過ごします。





いつも欅坂46を見守って下さりありがとうございます。


ライブや握手会でお会いできるのを楽しみにしています。


今年もよろしくお願いします。






みゆ

  "
2018/01/05 13:32,,"



紅白歌合戦の際、たくさんの方々にご心配とご迷惑をおかけしてしまい誠に申し訳ございませんでした。

お陰様で回復して元気になりましたのでご安心下さい。




鈴本美愉

  "
2017/12/06 18:36,ありがとうございます,"




こんばんは。



今日はYahoo!検索大賞の授賞式に出席させていただきました!!


去年に引き続きアイドル部門で授賞できてとても嬉しく思います!


私は初めて授賞式に参加したのですが、すごく緊張しました!


来年も頑張りたいと思います☆彡





















12月5日で20歳になりました^ ^


みんなのブログも読みました。ありがとう(๑˃̵ᴗ˂̵)



まだあまり20歳になった感じがしなくて実感がないです

1人の大人としてたくさん成長していきます!








またね〜




みゆ

  "
2017/11/23 22:58,(^^),"






こんばんは。




今年も、大晦日に紅白歌合戦に出させていただくことが決定致しました!


応援してくださっている皆様がいるからこそ、私たちはこのような場に出させて頂けます。


いつも本当にありがとうございます。


そして更に今年は初めて有線大賞、レコード大賞にも出演させていただきます!

本当にありがたいです。

見守っていて下さいー^ ^


















先日は握手会ありがとうございました!!



今年最後の握手会でしたね。


次は2018年になってから!




お楽しみに☆彡
















またね〜 (笑)



みゆ

  "
2017/11/17 00:24,◆,"





こんにちは。





昨日はベストヒット歌謡祭に出演させていただきました☆彡




新曲の「風に吹かれても」を披露させていただきました!








なーこちゃんと♬





ありがとうございました!!

大阪楽しかったです!
















今年のクリスマスディズニーが始まりました(*ﾟ▽ﾟ*)


今までクリスマスの時期に行ったことなくて、、だから今年こそは必ず行きます!



クリスマス気分を早く味わいたいです^ ^

















ばいばーい




みゆ

  "
2017/11/06 15:10,=(^.^)=,"






こんにちは。



先日のMUSIC STATIONありがとうございました!!


Newシングルの「風に吹かれても」を披露させていただきました!


生放送はやっぱり緊張しました。


スーツだとより気が引き締まりますね!


今回の衣装のパンツスタイルがとても気に入っています!


見てくださった方ありがとうございました^ ^












そして、昨日は5th初の握手会でした〜



ファンの方々の意見を直接聞けるのは久々で、昨日は楽しかったです!


遠いところから京都まで来てくださった方もありがとうございました^ ^





















またねー




みゆ

  "
2017/11/01 10:55,♧,"







こんにちは〜



いつの間にかハロウィンが終わってました、、







次はクリスマス!


私の大好きなクリスマスーーー





今まで冬が大好きで夏が苦手でしたが、今年で夏がとっても好きになりました。


四季全部好きになれてよかったー



夏が来るのがずっと嫌でしたが、夏が来るのも冬が来るのも楽しみ!







今はもう冬ですね〜今日から11月!



風が冷たいし防寒が必要になってきました、、



こたつが欲しくなります。



寒いけど風邪をひかずに1年を終えたいので元気に過ごします☆


皆さんも気をつけて下さいね〜






11月になって今年もあと2ヶ月!


本当に1年が早いなー


充実した日々を過ごしましょう〜


















コストコ行きたいー





ばいばーい










みゆ

  "
2017/10/28 00:57,_φ(･_･,"





こんばんは。


ブログ遅くなってすみません。













10月25日に5thシングル「風に吹かれても」が発売されました!!!!!


皆さん聴いてくださいましたか?^ ^



今回は、曲も表情も衣装も雰囲気もガラッと変わり、Music Videoも吹っ切れた笑顔で踊っています



テレビ披露もさせて頂きました!

見てくださった方ありがとうございます。


今回の曲は踊っていて今までにないような楽しくて清々しい気持ちになります



5thシングルではカップリング曲も盛りだくさんなのでぜひぜひ聴いてみてください〜











避雷針のMVのときの〜






またね




みゆ

  "
2017/08/18 21:27,(^^),"





こんにちは〜




昨日とおととい 名古屋公演ありがとうございました!!









シャチホコ



地元ということでツアーが始まる前からすごくワクワクしてました!



2日間とも無事に終わりほっとしてます。


















桃と梨

地元のJA愛知さんから頂きました〜〜


皆んなで美味しく頂きました。
ありがとうございました!










残りの宮城、新潟、幕張公演では更にもっとパワーアップしたものをお見せできたらと思います!







またねー





みゆ

  "
