date,title,blog
2018/09/22 23:03,こんばんは。,"
こんばんは。
みなさんにお伝えしたいことがあります。



年内で欅坂46を卒業し、7枚目のシングルを最後に学業に専念します。



急なご報告となってしまいすみません。



高校1年生で欅坂46に加入してから、もう3年が経ちました。
色々な経験をさせていただきました。
1番はなんだろう。
ロッキンかな。ななちゃんずでの撮影も楽しかったです。



大学に入って、落ち着いて自分のことを考える余裕ができて。
将来なにがしたいかな。
そのためには今私がどうしたらいいのかな。
と考えた時、学業に専念し、新たな道を探すという決断に至りました。



私はもうみなさんとは会えないけれど、これからも欅坂46を応援していただけると嬉しいです。
こんな私でごめんなさい。
今までありがとうございました。




米谷奈々未より
"
2018/08/06 00:40,夏休み。花火見たい。,"

 こんばんは。


昨日はROCK IN JAPAN 2018でした。
来てくださったみなさん、ありがとうございます。


初日のトップバッターを欅坂46がつとめさせていただきました。
すごく貴重な経験になりました。



8月は各地で全国ツアーを行いますので、ぜひみなさんお越しください。
一般販売はまだ受付してるはず…
よろしくお願いします。



全国ツアーのツアーパンフレットも明日発売です。
いつもはしないメイクや衣装の撮影でとても新鮮でした。
ぜひみなさん手に取ってみてください。



では。

  "
2018/06/14 13:56,髪染めました,"

 こんばんは。


先週は横浜での個別握手会ありがとうございました。













お花、ありがとうございます。



来週の京都握手会が6枚目、最後の握手会になります。
来て下さるみなさん、よろしくお願いします。



以上です。

  "
2018/06/03 15:25,梅雨まだ入ってない気がするけどアジサイが咲いてたのでもう梅雨なのかもしれない。,"

 こんばんは。
更新できていなくてすみません。



名古屋個別握手会ありがとうございました。






お花ありがとうございます。
個別握手会は久しぶりだったので、緊張しました。
来週のパシフィコ横浜での個別握手会に来て下さるみなさん、よろしくお願いします。




～告知～
5月30日に発売された月刊エンタメに長沢菜々香とのインタビューが掲載されています。
6枚目のシングルでの特典映像で作った「制服と太陽」のMVのお話をしたり。
絵を描いたり、写真撮ったり。
色々お話したので、ぜひご覧下さい。



では。

  "
2018/05/05 15:14,ビバラポップ。大阪。ハマってる。,"

 こんばんは。



明日はビバラポップ!です。
さいたまスーパーアリーナにて。
欅坂46のステージは17時25分〜となっております。
ぜひお越しください。



昨日は大阪にて全国握手会でした。
来てくださったみなさん、ありがとうございました。
6枚目の全国握手会はラストでした。
なんか時の流れが早いです。


すみません。
ちょっと大阪時間なくてお花の写真が撮れなかったのですが…
幕張のときのお花を載せていなかったので、そちらの写真です。






ありがとうございます。




ここからは余談ですが。
最近YouTubeを見るのにハマってます。
「水溜りボンド」さんをよく見るんですけれど。
ほんとほんわかする。
家帰ってきて1人で動画見て笑ってます。


あ。
それもそうなんですけど、「アバンティーズ」さんがガラスを割れ!をカバーして下さってて。
メンバーと一緒に見ました。
クオリティ高すぎてびっくりしてました。
ありがたい...


「アバンティーズ」さんに限らず、
カバーしてくれてるの見ると嬉しいです。
ちょっと不思議な気持ちになるけど(笑)
余談でした。




では。

  "
2018/04/18 23:04,いつもと少し違う。,"

 こんばんは。



今日、4月18日blt graphの発売日です。



すごく特別な撮影でした。
高校生最後のタイミングで。



blt graphさんに出させてもらうのは初めてでした。
しかも、ソロ...
すごく緊張してたんですけど。
カメラマンさんやインタビュアーさん、今回の撮影に関わってくれた方が実は初めましての方が少なくて。
私が自然体でいられる環境を作ってくれました。
ありがたい...



いつもとは違う雰囲気の大人っぽいグラビアとなってます。
メイクも大人っぽく。
完成したのまだ見てないんです。
私も見るの少しドキドキです。(笑) 




インタビュー。
自分のことを話すのってずっと苦手で。
雑誌でしっかり自分のことをこんなに話したの初めてないんじゃないかなって。
これを読んだ人はどういう風に受け取ってくれるのかな。
やっぱり自分のことを話すのは難しいです。
それでも、今回は話してみようと思いました。
あってたのかな。あってたらいいな。



では。

  "
2018/04/15 21:54,人体ー神秘への挑戦ー(好きなものがつまってました),"

 こんばんは。




ずっと行きたかった、ところに行ってきました。
ポスター見てから興味深々だった。






国立科学博物館の特別展「人体ー神秘への挑戦」
楽しかった。


結構、各臓器ごとに詳しく展示されてあって。
レプリカだけじゃなくて、実際の臓器もあって。
私は展示の説明文とか結構途中で読むの諦めちゃったりするんですけど。
途中で心が折れちゃう。
今回はほんとうに興味があって。
じっくり最後まで読めました…


もし、興味のある方がいたら、ぜひ。
人が沢山いたので、早めに行くことをオススメします…




国立科学博物館、最寄り駅が上野駅なんですね。
しーちゃんが「プーシキン展開幕スペシャル 水谷豊の名画探訪」に出演するんですけど。
(4月21日朝の10時30分〜テレビ朝日系にて)
プーシキン展も今絶賛開幕中なので。
そちらにもぜひ足を運んでみて下さい。




私は今回、「人体ー神秘への挑戦ー」に時間をかけすぎて。
プーシキン展行けなかったです...
でも、いくならしーちゃんと絵画のことを知ってる人と行った方が楽しいのかな?
考えてみます。



では。

  "
2018/03/22 00:23,潔癖症克服しようよ大作戦(まだ克服してません),"

 こんばんは。



今日は東京ビックサイトにて個別握手会でした。
来てくれたみなさん、ありがとうございました。
ひとつ前の握手会と今回の握手会の日程が近かったので少し新鮮なかんじでした。





今回のビックサイトでのお花。
ありがとうございます。






前回のブログに載せていなかったので。
こちら6枚目初の個別握手会でのお花。
ありがとうございます。




4月6日〜4月8日に武蔵野森で行われるアニバーサリーライブを楽しみにしてくれている方が沢山いらっしゃって。
少し緊張しますね。
頑張ります。




次は名古屋での全国握手会ですね。
ぜひいらっしゃって下さい。



では。

  "
2018/03/17 00:40,ぱ行がすき。,"

 おはようございます。



今日は個別握手会。
来て下さるみなさん、よろしくお願いします。



3月15日発売のEX大衆さんに石森虹花、長沢菜々香、米谷奈々未のインタビューと撮り下ろしの写真が掲載されています。
表紙には小林由依が登場します。
showroomのこととかお話ししました。
このメンバーでのインタビューは初めてです。
ぜひご覧下さい。







なーこ(長沢菜々香)とだに(織田奈那)でご飯食べに行きました。
初のななちゃんずでお食事。
また行きたいな。




では。

  "
2018/03/09 18:43,スマブラ。よき。,"

 こんばんは。



3月7日に6枚目シングル「ガラスを割れ!」リリースしました。
みなさんぜひ聞いてみてください。



今日のMステで「ガラスを割れ!」MステVer.披露するので、是非ご覧ください。





最近だと、なーことゆうパラに出演させていただきました。






海賊団としてのご褒美の金貨(チョコ)



金田さんやゆうパラのスタッフさんがラジオをしやすい雰囲気をつくってくれたおかげでとてもやりやすかったです。 
初めてだったのに素で話せたラジオでした。
ありがとうございます。
相手もなーこだったし、より安心感があったのかも。


誕生日のサプライズもしてくれて、ほんとに嬉しかった。
ケーキ、美味しくいただきました。
毎週月曜日16時40分〜NHK FMにて
欅坂のいろんなメンバーがでてるのでぜひ聞いてみて下さい。




では。

  "
